binomial,extinction.rate.hackett,extinction.rate.ericson,rab.ex.rate.lumped,rab.ex.rate.split,English_name,TipLabel,Female_plumage_score,Male_plumage_score,Body_size_ppca,Tropical_life_history_ppca,Sexual_selection_ppca,Cooperative_breeding_ppca,Migration_ppca,SDi,range.size.m2,bioclim1,bioclim2,bioclim3,bioclim4,bioclim5,bioclim6,bioclim7,bioclim8,bioclim9,bioclim10,bioclim11,bioclim12,bioclim13,bioclim14,bioclim15,bioclim16,bioclim17,bioclim18,bioclim19,se.bioclim1,se.bioclim2,se.bioclim3,se.bioclim4,se.bioclim5,se.bioclim6,se.bioclim7,se.bioclim8,se.bioclim9,se.bioclim10,se.bioclim11,se.bioclim12,se.bioclim13,se.bioclim14,se.bioclim15,se.bioclim16,se.bioclim17,se.bioclim18,se.bioclim19,cclgmbi1,cclgmbi10,cclgmbi11,cclgmbi12,cclgmbi13,cclgmbi14,cclgmbi15,cclgmbi16,cclgmbi17,cclgmbi18,cclgmbi19,cclgmbi2,cclgmbi3,cclgmbi4,cclgmbi5,cclgmbi6,cclgmbi7,cclgmbi8,cclgmbi9,se.cclgmbi1,se.cclgmbi10,se.cclgmbi11,se.cclgmbi12,se.cclgmbi13,se.cclgmbi14,se.cclgmbi15,se.cclgmbi16,se.cclgmbi17,se.cclgmbi18,se.cclgmbi19,se.cclgmbi2,se.cclgmbi3,se.cclgmbi4,se.cclgmbi5,se.cclgmbi6,se.cclgmbi7,se.cclgmbi8,se.cclgmbi9,NPP,NPP.se,Pop_Density,pop.density.se,X2010.IUCN.Red.List.category,BLFamilyLatin,BLFamilyEnglish,IOCOrder,PassNonPass,OscSubOsc,PCA,Segment.classification,Colour.discriminability
Baeolophus bicolor,0.001392305,0.001332413,0.039691503,0.039395001,Tufted Titmouse,Baeolophus_bicolor,53.33333333,51.38888889,-0.116578883,-1.352230113,-0.315652183,2.244888527,-0.539632293,0.963541667,2.97E+12,134.465,123.972,34.729,8320.79,310.346,-46.879,357.225,181.748,78.382,237.589,22.571,1129.891,129.131,60.642,23.069,354.388,207.82,314.236,241.988,1.310722995,0.314814746,0.163799846,43.66937286,0.821089808,1.802140413,1.323851562,1.767015801,3.449818448,0.891230818,1.853059305,6.876362227,0.795978279,0.668654571,0.351766938,2.065603586,2.121840193,2.159357573,3.235700792,-10.962,123.943,-162.427,1166.762,156.012,53.403,33.816,410.952,188.555,288.376,234.735,127.341,28.84,11385.722,198.596,-238.149,436.745,6.857,-54,2.999671079,2.815623819,3.049506216,7.112808405,0.910131966,0.682615965,0.436564695,2.392001122,2.216904066,2.868327374,3.587775482,0.777000933,0.181315403,62.11223442,3.21326218,2.797071398,1.940840755,2.97498186,5.660187251,8732.312,386.946277,75.02152182,8.473880076,LC,Paridae,Tits and chickadees,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Baeolophus inornatus,0.001392305,0.001674781,0.038079819,0.037948195,Oak Titmouse,Baeolophus_inornatus,40.41666667,41.25,-0.494527132,-1.647691158,-0.729471809,-0.445276143,-0.539632293,1.020618557,1.78E+11,144.3426854,146.5921844,49.4238477,5379.196393,312.1372745,14.94589178,297.1913828,87.09519038,205.2024048,215.5751503,80.19038076,518.1052104,101.0130261,1.909819639,81.47194389,272.1553106,13.0761523,28.20741483,259.1763527,0.933473318,0.518621487,0.171542033,38.15051578,1.215124674,0.980193455,1.426984813,1.33841848,1.063274704,0.993590484,1.040291481,7.62719789,1.519454074,0.073285094,0.396149524,4.023644163,0.387678713,1.424427908,4.114386012,86.088,157.425,20.115,767.467,143.953,2.114,82.015,400.03,17.698,31.033,377.948,142.535,48.527,5475.308,252.106,-40.794,292.9,27.998,149.587,1.077892438,1.054895815,1.19815999,11.46940714,2.07738208,0.08637398,0.40586636,5.971352959,0.680708572,1.393014142,5.710572645,0.535398381,0.164779924,32.96738542,1.213220783,1.112198071,1.16915479,1.414401827,1.125616028,11151.793,539.2129493,203.9646871,25.78391919,LC,Paridae,Tits and chickadees,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Baeolophus ridgwayi,0.001392305,0.001332413,0.038267126,0.037948195,Juniper Titmouse,Baeolophus_ridgwayi,45.41666667,44.02777778,NA,NA,NA,NA,NA,0.96941896,1.06E+12,92.262,165.792,41.506,8024.627,305.407,-90.39,395.797,125.368,105.224,197.606,-8.264,327.668,46.428,13.12,35.691,121.305,48.661,95.469,76.342,1.184366531,0.460776574,0.128149859,24.24418145,1.241089705,1.267333434,0.813658301,2.677937999,2.676728731,1.247456978,1.217592228,4.113362071,0.681248057,0.241171648,0.535331765,1.691975992,0.797937832,1.640485365,1.261220724,2.927,117.265,-100.749,348.492,54.411,11.486,42.544,136.268,45.344,105.154,91.806,166.016,40.18,8592.526,218.898,-190.324,409.222,11.613,24.735,1.367520304,1.36675484,1.342532828,4.49754153,0.969972642,0.209899647,0.709901419,2.188456423,0.739891278,2.088444369,1.585967104,0.472079022,0.107494908,33.50539352,1.364978668,1.46113584,1.045774527,3.094926461,2.550047356,7058.787,553.8409571,27.43468613,8.925309107,LC,Paridae,Tits and chickadees,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Baeolophus wollweberi,0.006211898,0.001332413,0.038469865,0.037899591,Bridled Titmouse,Baeolophus_wollweberi,56.80555556,52.91666667,-0.772243088,-0.85145612,-0.31170041,2.244888527,-0.539632293,0.931540342,5.32E+11,172.895,161.167,58.663,3890.955,310.489,32.425,278.064,211.043,168.699,219.72,121.238,785.78,182.594,8.519,89.555,466.465,36.094,324.679,79.655,1.125010054,0.614625802,0.226226899,59.09005437,1.220749814,1.565873665,1.792777162,1.170293441,1.189329603,1.153053829,1.479287547,11.33718966,2.614983232,0.246954704,0.532488985,6.964605984,0.781445981,5.000996093,1.475316418,127.551,177.034,72.879,723.883,167.77,5.865,87.179,406.106,29.086,281.424,109.346,164.334,57.889,4098.802,272.503,-15.245,287.748,157.156,128.626,1.272722759,1.170113674,1.681018198,9.204560459,2.192292692,0.162779828,0.473285282,5.579682394,0.525778515,3.988053259,2.290488293,0.539541981,0.268497244,58.46783223,1.218947014,1.711002778,1.682196267,1.554265552,1.188186817,8613.069,464.1357827,161.475103,39.8327077,LC,Paridae,Tits and chickadees,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Baeopogon clamans,0.002813173,0.002551553,0.003632502,0.003479641,White-tailed Greenbul,Baeopogon_clamans,45,47.36111111,NA,NA,NA,NA,NA,1.052469136,8.50E+11,243.297,99.282,78.925,717.917,308.226,182.97,125.256,241.326,238.733,251.285,233.225,1859.739,282.938,42.857,48.854,720.854,167.744,492.589,387.08,0.314008586,0.360841631,0.21502933,9.654505455,0.345178319,0.411823626,0.411555393,0.346915082,0.378104051,0.35796636,0.300730467,11.16789868,2.447431322,1.068334165,0.536291238,6.063224338,3.439491906,3.877699657,9.680792392,208.682,217.795,198.32,1723.452,270.957,31.446,51.528,685.445,145.837,504.881,430.591,104.988,77.269,769.75,276.772,141.471,135.301,205.97,203.062,0.333166439,0.373122226,0.31062854,11.93614029,3.072218364,0.746990682,0.489355377,7.454017262,2.862665766,2.7124982,10.61645397,0.405574095,0.2015422,8.811650849,0.351979979,0.468361529,0.492612491,0.37248066,0.362358192,10736.834,145.065876,19.92827383,3.896010116,LC,Pycnonotidae,Bulbuls,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Baeopogon indicator,0.004646477,0.002551553,0.003996346,0.003490234,Honeyguide Greenbul,Baeopogon_indicator,45,45.41666667,0.592638069,1.426371488,-0.180666339,-0.445276143,-0.539632293,1.009259259,4.26E+12,245.499,106.097,76.603,770.612,315.403,176.524,138.879,243.292,240.998,254.323,234.954,1667.479,255.021,28.552,54.894,663.386,121.612,409.12,350.796,0.489511614,0.507003593,0.237047638,11.3942136,0.588207939,0.825448235,0.809405644,0.467312655,0.618730008,0.564220716,0.492695274,13.86377184,2.698674008,0.952672494,0.588786407,6.704777479,3.282654913,4.582949162,10.56387276,210.256,219.782,199.998,1562.811,247.061,23.346,56.891,626.171,111.316,448.053,333.481,112.461,75.27,790.571,283.455,133.934,149.521,209.039,204.371,0.50056271,0.571285255,0.515670352,15.54027591,3.075355767,0.755417063,0.554317948,7.609067464,3.010850272,3.937783683,10.65149736,0.52089328,0.220326221,10.36630779,0.564601408,0.763468748,0.796929517,0.500417722,0.567904811,9889.144,225.7056673,56.92530261,12.87902022,LC,Pycnonotidae,Bulbuls,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Bangsia arcaei,0.002944121,0.002856824,0.010772108,0.00910565,Blue-and-gold Tanager,Bangsia_arcaei,60.83333333,59.16666667,NA,NA,NA,NA,NA,0.97260274,8947320581,230.221,91.539,77.971,575.527,290.52,173.881,116.639,227.918,230.997,237.818,222.833,3121.165,411.796,96.632,40.637,1106.215,341.971,565.906,730.777,0.521146575,0.174203404,0.07129686,3.235230438,0.513573128,0.560968381,0.200840773,0.534639238,0.529156875,0.538792328,0.523521906,14.71135302,2.201928899,1.402643927,0.385925082,5.641944906,4.379641471,3.95916483,6.888932331,195.661,205.772,185.597,3068.221,407.427,126.172,34.348,1079.284,447.682,564.369,762.958,104.42,75.348,766.316,268.456,130.731,137.725,192.97,199.21,0.523278032,0.541573003,0.535428122,14.19308105,2.117500054,1.841990593,0.419939573,5.896696565,5.494701504,4.846783278,5.639653707,0.231103892,0.069077259,3.406933422,0.506446989,0.583198731,0.270711396,0.506479636,0.533126743,8709.423,81.97652789,32.03555946,1.939757708,NT,Thraupidae,Tanagers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Bangsia aureocincta,0.002751684,0.002856824,0.009293259,0.007473154,Gold-ringed Tanager,Bangsia_aureocincta,53.33333333,56.25,NA,NA,NA,NA,NA,1.0546875,1451271960,192.159,98.972,90.294,265.43,248.229,139.059,109.17,189.226,193.168,194.779,188.057,3223.03,390.281,168.508,26.389,1023.712,565.825,746.455,987.466,1.11200822,0.32615885,0.072351909,1.526438048,1.278357053,0.981402399,0.387072248,1.100176037,1.126279842,1.12063374,1.108797178,30.43128328,3.199129955,1.828627303,0.118607532,9.300650039,6.004810915,6.163596507,9.596762303,155.748,161.594,149.781,2421.984,322.272,117.502,28.756,806.015,439.823,598.151,557.211,104.941,83.337,483.071,217.623,92.374,125.249,153.546,152.452,1.109649412,1.116979322,1.112895132,23.46089694,2.871630247,1.497191229,0.154111045,7.749342235,5.24796082,4.779198357,6.946802469,0.369144669,0.09361728,2.226320386,1.296573937,0.996068409,0.447742641,1.100437571,1.17083327,9500.166,192.5682662,18.56957942,0.600684007,EN,Thraupidae,Tanagers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Bangsia edwardsi,0.002751684,0.002856824,0.009293259,0.007473154,Moss-backed Tanager,Bangsia_edwardsi,57.22222222,56.94444444,NA,NA,NA,NA,NA,0.995145631,19030855936,220.291,94.246,86.812,311.253,275.955,167.771,108.184,220.541,219.317,223.854,216.236,3451.61,439.02,154.147,35.889,1212.767,549.454,1033.785,907.363,0.936133893,0.281579067,0.119628454,4.596433203,0.922697321,0.995953052,0.3635909,0.974586136,0.920825951,0.953329702,0.936361617,44.03900037,4.506792738,3.73637711,0.56291167,12.74589717,12.12026108,13.01923305,14.59714554,182.811,189.753,176.349,3211.883,396.911,161.628,30.209,1060.649,569.146,934.201,695.196,93.681,82.925,526.949,240.423,128.251,112.172,183.819,180.482,0.942103411,0.958714308,0.940850891,46.60221305,4.733777321,3.265226994,0.542901521,13.60588541,11.07820958,11.1849403,10.69150765,0.419508315,0.13937288,5.091844192,0.929800301,1.031981097,0.42124561,1.008477697,0.902593126,10243.016,235.130558,77.65763962,13.2967059,LC,Thraupidae,Tanagers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Bangsia melanochlamys,0.002751684,0.002856824,0.008063422,0.007530335,Black-and-gold Tanager,Bangsia_melanochlamys,59.02777778,55.97222222,NA,NA,NA,NA,NA,0.948235294,8226112121,208.13,101.542,86.473,332.165,267.311,150.174,117.137,204.696,209.191,211.809,203.411,3017.247,378.155,117.147,34.585,1007.336,421.486,672.817,898.023,0.756910836,0.17610579,0.159702147,2.256427096,0.835476091,0.751546769,0.25525161,0.756215211,0.774157503,0.763846831,0.756560945,35.4714359,3.668399942,2.424252543,0.25542125,10.84441517,7.640572502,8.524910886,10.56729834,174.879,182.722,167.506,2380.087,334.072,87.579,42.065,875.866,320.68,535.899,582.222,108.814,78.084,602.817,244.81,105.22,139.59,171.322,171.627,0.761006893,0.774536392,0.762113365,26.74570538,3.235889336,1.817719963,0.444159941,9.693070807,6.528150147,5.516584405,6.770958469,0.20339807,0.222351938,4.635066057,0.891308213,0.75902155,0.463357962,0.768703598,0.799720842,9724.968,209.2620414,23.5867183,0.734080357,VU,Thraupidae,Tanagers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Bangsia rothschildi,0.002751684,0.005196674,0.007015977,0.007425201,Golden-chested Tanager,Bangsia_rothschildi,58.05555556,59.02777778,NA,NA,NA,NA,NA,1.016746411,20015603629,234.038,95.243,89.614,262.706,288.544,182.741,105.803,232.331,233.902,236.829,230.248,3996.259,473.56,222.687,25.905,1286.348,756.539,1022.578,1128.135,0.980240495,0.302422569,0.0848894,1.473305873,0.938960975,1.049821911,0.337419684,1.028210414,0.966508424,0.990195054,0.987569638,63.55884572,6.311300097,4.332633234,0.247238957,18.04490425,13.86785318,15.26091247,18.26203501,197.651,203.887,191.722,3518.457,424.435,191.12,24.638,1123.969,666.341,890.931,810.719,98.311,84.426,476.471,256.032,140.523,115.509,196.901,196.116,0.993306527,1.004592174,1.00009645,59.73882675,6.609003609,3.568681141,0.181835145,18.98994018,12.30549235,14.23575586,11.71037783,0.401077476,0.074121643,1.857040592,0.959607118,1.099461817,0.403805619,1.059905939,0.966538536,9489.778,198.9731265,18.55375262,0.546474981,LC,Thraupidae,Tanagers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus basilicus,0.005459518,0.009534414,0.023666513,0.02796182,Santa Marta Warbler,Basileuterus_basilicus,49.86111111,49.86111111,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VU,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus belli,0.007196523,0.009534414,0.023532171,0.025886525,Golden-browed Warbler,Basileuterus_belli,44.30555556,42.91666667,NA,NA,NA,NA,NA,0.968652038,3.34E+11,196.396,134.301,67.023,1825.575,294.359,93.932,200.427,208.543,186.154,217.047,170.739,1381.851,288.34,14.655,91.244,762.745,55.189,448.893,91.418,1.346488847,0.550130023,0.178931516,24.78946999,1.363465862,1.516368276,0.992301029,1.303481191,1.433036593,1.336403669,1.448388314,19.93418814,3.364750205,0.624382758,0.516018157,9.079184962,1.99232644,5.735219463,2.734213086,157.455,184.948,123.94,1134.322,255.476,10.95,90.559,661.558,44.048,317.902,105.83,142.577,63.274,2386.346,269.697,44.925,224.772,172.954,147.765,1.398961425,1.415125392,1.473105713,16.52630464,3.620064957,0.434543816,0.421580656,9.588558029,1.447038914,4.786989625,2.787809711,0.558428073,0.168324856,26.41093622,1.479061464,1.558646449,0.968139096,1.388162411,1.538787068,9807.65,274.1884147,104.3905518,16.56463316,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,-0.09,-0.57,26
Basileuterus bivittatus,0.005459518,0.009534414,0.0265215,0.027295657,Two-banded Warbler,Basileuterus_bivittatus,44.58333333,46.94444444,NA,NA,NA,NA,NA,1.052959502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,-0.29,-0.56,18
Basileuterus chrysogaster,0.005459518,0.009534414,0.023554992,0.025829867,Golden-bellied Warbler,Basileuterus_chrysogaster,42.63888889,42.91666667,NA,NA,NA,NA,NA,1.006514658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus cinereicollis,0.008270526,0.009534414,0.023520364,0.029871379,Grey-throated Warbler,Basileuterus_cinereicollis,50.83333333,50.13888889,NA,NA,NA,NA,NA,0.986338798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NT,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus conspicillatus,0.005459518,0.009534414,0.023520364,0.026522141,White-lored Warbler,Basileuterus_conspicillatus,44.02777778,46.25,NA,NA,NA,NA,NA,1.050473186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NT,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus coronatus,0.005934686,0.009534414,0.024271448,0.026298001,Russet-crowned Warbler,Basileuterus_coronatus,47.91666667,48.47222222,NA,NA,NA,NA,NA,1.011594203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,-0.12,-0.49,24
Basileuterus culicivorus,0.005459518,0.009534414,0.02411165,0.026419742,Golden-crowned Warbler,Basileuterus_culicivorus,45,44.02777778,-0.95010968,0.227740417,-0.233232309,-0.445276143,-0.539632293,0.978395062,5.23E+11,236.068,111.991,65.341,1764.32,320.526,149.741,170.785,246.175,229.381,255.02,210.787,1752.567,312.153,35.642,68.976,815.754,125.421,448.516,210.958,0.962838738,0.570463274,0.184577322,18.66447337,0.989072084,1.137447012,0.863902253,1.012558962,1.102108199,1.011716942,0.938737908,21.89899366,3.736348202,0.804899807,0.616007215,9.92643146,2.714489309,5.129256185,5.325559296,198.634,227.034,159.964,1336.101,258.775,24.867,73.28,674.87,92.428,314.267,185.533,126.909,59.782,2649.754,304.689,91.77,212.919,214.721,193.313,1.018740338,1.080186858,1.041837862,21.17235961,3.873652225,0.78637249,0.618208526,10.41774393,2.687414932,5.625706203,5.26562149,0.49643042,0.208513678,28.37022857,1.101824985,1.236142851,1.068892403,1.084146915,1.333064174,10764.969,245.3823208,81.90910015,16.80410949,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus flaveolus,0.005459518,0.009534414,0.023520364,0.027336159,Flavescent Warbler,Basileuterus_flaveolus,41.52777778,37.91666667,NA,NA,NA,NA,NA,0.913043478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus fraseri,0.005459518,0.009534414,0.023503104,0.026424632,Grey-and-gold Warbler,Basileuterus_fraseri,47.5,45.27777778,NA,NA,NA,NA,NA,0.953216374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus hypoleucus,0.005459518,0.009534414,0.02411165,0.026419742,White-bellied Warbler,Basileuterus_hypoleucus,47.08333333,47.77777778,NA,NA,NA,NA,NA,1.014749263,1.21E+12,233.126,122.089,67.381,1714.274,312.299,132.206,180.093,247.125,211.247,249.24,207.273,1430.34,253.64,16.926,69.166,687.387,64.031,508.424,97.463,0.610138011,0.270873497,0.097310371,14.94239439,0.645299939,0.728592074,0.40682411,0.571124819,0.722562168,0.571152007,0.691588581,5.434268458,1.37011153,0.331430793,0.372947092,3.522626311,1.153779548,4.530742528,1.395837022,193.286,212.479,166.831,1434.397,237.916,18.547,63.341,657.002,78.228,558.621,100.353,128.597,66.724,1803.598,277.372,85.893,191.479,208.499,171.031,0.572489256,0.543625871,0.662088211,5.12263006,1.490598816,0.433224508,0.468948432,3.788360288,1.668718262,3.365777446,1.636227255,0.313944505,0.116702371,16.70540712,0.541443235,0.704270934,0.427375958,0.573901875,0.688062111,8951.821,222.6087484,56.5854308,18.56007865,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus leucoblepharus,0.005459518,0.009534414,0.02477365,0.025843558,White-browed Warbler,Basileuterus_leucoblepharus,50.13888889,49.44444444,NA,NA,NA,NA,NA,0.986149584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus leucophrys,0.009200682,0.009534414,0.028868736,0.026178952,White-striped Warbler,Basileuterus_leucophrys,50.27777778,46.38888889,NA,NA,NA,NA,NA,0.922651934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus luteoviridis,0.018781737,0.009534414,0.029903909,0.027033393,Citrine Warbler,Basileuterus_luteoviridis,43.05555556,40.55555556,NA,NA,NA,NA,NA,0.941935484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
Basileuterus melanogenys,0.005459518,0.009534414,0.02396273,0.026405759,Black-cheeked Warbler,Basileuterus_melanogenys,50.55555556,50.41666667,NA,NA,NA,NA,NA,0.997252747,4831715923,147.148,87.029,78.768,554.733,201.863,92.075,109.788,147.925,143.448,152.727,138.951,2915.857,440.568,61.456,53.143,1153.793,218.399,778.573,425.815,1.14015703,0.161065518,0.053094209,1.787704561,1.241342484,1.116913099,0.186402258,1.082238705,1.218617382,1.15151833,1.178486924,17.92090336,2.511093181,0.9706071,0.241455693,6.459214163,3.049647873,7.234367612,7.162032776,112.845,119.943,102.298,2793.868,420.88,81.08,47.515,1141.573,296.995,736.308,497.817,98.868,76.851,719.9,178.04,50.075,127.965,114.733,110.429,1.13770266,1.168238217,1.179343906,20.17828451,2.610188247,1.414291986,0.300959053,7.353788607,4.475103521,7.501793388,6.953338078,0.240828932,0.052740692,1.74269245,1.293601099,1.121937663,0.322387513,1.061561408,1.270983225,8343.212,74.2334064,37.96864463,2.718261783,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,-0.37,-0.59,49
Basileuterus nigrocristatus,0.005967173,0.010969404,0.027805231,0.026313354,Black-crested Warbler,Basileuterus_nigrocristatus,52.36111111,51.25,NA,NA,NA,NA,NA,0.978779841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LC,Parulidae,New World warblers,PASSERIFORMES,PASSERIFORMES,Passeri,NA,NA,NA
